sampn,number_of_vehicles,number_of_workers,count_of_licensed_drivers,list_of_licensed_drivers,accvar1,accvar2,accvar3,accvar4,number_of_part_time_workers,count_of_household_members_over_75,at_least_as_many_cars_as_workers,part_time_workers_per_drivers,greater_than_75_yr_old_per_drivers,number_of_university_students_per_driver,licensed_drivers_under_18_per_driver,children_under_5_per_driver,list_of_income_level,logsum_full_time_worker_under_30k,logsum_students,distance_from_transit_stop_variable
7045121,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
6029316,0,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6029320,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7045131,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6094861,4,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6029327,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6094867,4,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8028180,2,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5
6062101,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6094873,4,1,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0.333333333,0,0
6029345,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6094886,0,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
6127656,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8028204,3,2,3,"[0, 0, 1, 0]",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7045172,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
7012406,3,1,4,"[0, 0, 0, 1]",0,0,0,1,1,1,1,0,0,0,2,0,0.5,0,0.25,0.5
7012408,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6029369,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
7012413,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
6029380,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6007478,1,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6029383,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0
6029385,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7039671,1,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7052801,1,0,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5013581,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5013582,2,2,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6094940,4,1,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8028253,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6094942,2,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6062180,1,0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6062183,2,1,2,"[0, 1, 0, 0]",0,1,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0
5013608,1,0,1,"[1, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
